name,name2,party,vote,state,state2,party2,vote2,cross_party,storm,sharevote
Benjamin “Ben” Sasse,Chris Van Hollen,Republican,1,NE,MD,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Christopher Coons,Republican,1,NE,DE,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Christopher Murphy,Republican,1,NE,CT,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Cindy Hyde-Smith,Republican,1,NE,MS,Republican,1,1,0,1
Benjamin “Ben” Sasse,Claire McCaskill,Republican,1,NE,MO,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Cory Booker,Republican,1,NE,NJ,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Cory Gardner,Republican,1,NE,CO,Republican,1,1,0,1
Benjamin “Ben” Sasse,Dan Sullivan,Republican,1,NE,AK,Republican,1,1,0,1
Benjamin “Ben” Sasse,David Perdue,Republican,1,NE,GA,Republican,1,1,0,1
Benjamin “Ben” Sasse,Dean Heller,Republican,1,NE,NV,Republican,1,1,0,1
Benjamin “Ben” Sasse,Deb Fischer,Republican,1,NE,NE,Republican,1,1,0,1
Benjamin “Ben” Sasse,Debbie Stabenow,Republican,1,NE,MI,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Dianne Feinstein,Republican,1,NE,CA,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Doug Jones,Republican,1,NE,AL,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Edward “Ed” Markey,Republican,1,NE,MA,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Elizabeth Warren,Republican,1,NE,MA,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Gary Peters,Republican,1,NE,MI,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Heidi Heitkamp,Republican,1,NE,ND,Democrat,1,0,0,1
Benjamin “Ben” Sasse,James “Jim” Inhofe,Republican,1,NE,OK,Republican,1,1,0,1
Benjamin “Ben” Sasse,James Lankford,Republican,1,NE,OK,Republican,1,1,0,1
Benjamin “Ben” Sasse,James Risch,Republican,1,NE,ID,Republican,1,1,0,1
Benjamin “Ben” Sasse,Jeanne Shaheen,Republican,1,NE,NH,Democrat,1,0,0,1
Benjamin “Ben” Sasse,Jeff Flake,Republican,1,NE,AZ,Republican,1,1,0,1
