name,name2,state,vote,party,state2,vote2,party2,cross_party,storm,sharevote
Angus King,Richard Durbin,ME,1,Independent,IL,1,Democrat,0,0,1
Angus King,Richard Shelby,ME,1,Independent,AL,1,Republican,0,0,1
Angus King,Robert “Bob” Casey,ME,1,Independent,PA,1,Democrat,0,0,1
Angus King,Robert “Bob” Menendez,ME,1,Independent,NJ,,Democrat,0,0,
Angus King,Robert “Rob” Portman,ME,1,Independent,OH,1,Republican,0,0,1
Angus King,Roger Wicker,ME,1,Independent,MS,1,Republican,0,0,1
Angus King,Ron Johnson,ME,1,Independent,WI,0,Republican,0,0,0
Angus King,Ron Wyden,ME,1,Independent,OR,1,Democrat,0,0,1
Angus King,Roy Blunt,ME,1,Independent,MO,1,Republican,0,0,1
Angus King,Sheldon Whitehouse,ME,1,Independent,RI,1,Democrat,0,0,1
Angus King,Shelley Moore Capito,ME,1,Independent,WV,1,Republican,0,0,1
Angus King,Sherrod Brown,ME,1,Independent,OH,1,Democrat,0,0,1
Angus King,Steve Daines,ME,1,Independent,MT,0,Republican,0,0,0
Angus King,Susan Collins,ME,1,Independent,ME,1,Republican,0,0,1
Angus King,Tammy Baldwin,ME,1,Independent,WI,1,Democrat,0,0,1
Angus King,Tammy Duckworth,ME,1,Independent,IL,1,Democrat,0,0,1
Angus King,Ted Cruz,ME,1,Independent,TX,1,Republican,0,0,1
Angus King,Thad Cochran,ME,1,Independent,MS,1,Republican,0,0,1
Angus King,Thom Tillis,ME,1,Independent,NC,1,Republican,0,0,1
Angus King,Thomas Carper,ME,1,Independent,DE,1,Democrat,0,0,1
Angus King,Tim Scott,ME,1,Independent,SC,1,Republican,0,0,1
Angus King,Timothy “Tim” Kaine,ME,1,Independent,VA,1,Democrat,0,0,1
Angus King,Todd Young,ME,1,Independent,IN,1,Republican,0,0,1
Angus King,Tom Cotton,ME,1,Independent,AR,1,Republican,0,0,1
Angus King,Tom Udall,ME,1,Independent,NM,1,Democrat,0,0,1
Benjamin “Ben” Sasse,Alan “Al” Franken,NE,0,Republican,MN,1,Democrat,0,0,0
Benjamin “Ben” Sasse,Amy Klobuchar,NE,0,Republican,MN,1,Democrat,0,0,0
Benjamin “Ben” Sasse,Angus King,NE,0,Republican,ME,1,Independent,0,0,0
Benjamin “Ben” Sasse,Benjamin Cardin,NE,0,Republican,MD,1,Democrat,0,0,0
Benjamin “Ben” Sasse,Bernard “Bernie” Sanders,NE,0,Republican,VT,1,Independent,0,0,0
Benjamin “Ben” Sasse,Bill Cassidy,NE,0,Republican,LA,1,Republican,1,0,0
Benjamin “Ben” Sasse,Bill Nelson,NE,0,Republican,FL,1,Democrat,0,0,0
Benjamin “Ben” Sasse,Bob Corker,NE,0,Republican,TN,0,Republican,1,0,0
Benjamin “Ben” Sasse,Brian Schatz,NE,0,Republican,HI,1,Democrat,0,0,0
Benjamin “Ben” Sasse,Catherine Cortez Masto,NE,0,Republican,NV,1,Democrat,0,0,0
Benjamin “Ben” Sasse,Charles “Chuck” Grassley,NE,0,Republican,IA,0,Republican,1,0,0
Benjamin “Ben” Sasse,Charles “Chuck” Schumer,NE,0,Republican,NY,1,Democrat,0,0,0
Benjamin “Ben” Sasse,Chris Van Hollen,NE,0,Republican,MD,1,Democrat,0,0,0
Benjamin “Ben” Sasse,Christopher Coons,NE,0,Republican,DE,1,Democrat,0,0,0
